"variable","importance","model"
"Overall_Qual",20553.88671875,"rf"
"Neighborhood",13571.810546875,"rf"
"Year_Built",6136.951171875,"rf"
"Gr_Liv_Area",6067.0966796875,"rf"
"Exter_Qual",6037.40380859375,"rf"
"Bsmt_Qual",3454.57080078125,"rf"
"Garage_Cars",2756.85278320312,"rf"
"Kitchen_Qual",2582.05786132812,"rf"
"First_Flr_SF",2085.48559570312,"rf"
"Total_Bsmt_SF",2005.12878417969,"rf"
"Garage_Area",1893.73376464844,"rf"
"MS_SubClass",1175.53564453125,"rf"
"Full_Bath",988.629577636719,"rf"
"Fireplace_Qu",739.51806640625,"rf"
"Overall_Cond",735.963134765625,"rf"
"Second_Flr_SF",588.367248535156,"rf"
"Fireplaces",511.071166992188,"rf"
"Year_Remod_Add",506.53759765625,"rf"
"Garage_Type",480.194396972656,"rf"
"Exterior_1st",479.895629882812,"rf"
"Lot_Area",463.052764892578,"rf"
"Exterior_2nd",449.262634277344,"rf"
"Central_Air",437.784759521484,"rf"
"BsmtFin_Type_1",415.572387695312,"rf"
"TotRms_AbvGrd",322.360046386719,"rf"
"Garage_Cond",296.328247070312,"rf"
"MS_Zoning",274.124389648438,"rf"
"Garage_Finish",270.395599365234,"rf"
"Sale_Condition",263.275115966797,"rf"
"Foundation",253.461181640625,"rf"
"Bsmt_Unf_SF",253.149719238281,"rf"
"Longitude",207.759887695312,"rf"
"Mo_Sold",205.478607177734,"rf"
"Functional",189.030319213867,"rf"
"Exter_Cond",188.016296386719,"rf"
"Latitude",183.62580871582,"rf"
"Mas_Vnr_Area",183.409973144531,"rf"
"Heating_QC",182.000045776367,"rf"
"Bedroom_AbvGr",175.833404541016,"rf"
"Open_Porch_SF",172.005218505859,"rf"
"Lot_Frontage",171.621932983398,"rf"
"Paved_Drive",159.389022827148,"rf"
"Bsmt_Exposure",154.750381469727,"rf"
"Wood_Deck_SF",137.141540527344,"rf"
"Year_Sold",133.1689453125,"rf"
"Garage_Qual",132.246215820312,"rf"
"Bsmt_Full_Bath",131.425140380859,"rf"
"BsmtFin_SF_1",129.469528198242,"rf"
"House_Style",119.646850585938,"rf"
"Bsmt_Cond",108.980865478516,"rf"
"Roof_Style",107.953125,"rf"
"Land_Contour",92.6399536132812,"rf"
