"variable","importance","model"
"OverallQual",22966.044921875,"RFd"
"Neighborhood",17387.84765625,"RFd"
"GrLivArea",8669.5869140625,"RFd"
"ExterQual",6402.31689453125,"RFd"
"YearBuilt",3779.490234375,"RFd"
"GarageCars",2716.15576171875,"RFd"
"GarageArea",2056.0390625,"RFd"
"X1stFlrSF",2031.07885742188,"RFd"
"TotalBsmtSF",1962.12829589844,"RFd"
"KitchenQual",1887.64892578125,"RFd"
"BsmtQual",1825.61022949219,"RFd"
"FullBath",1275.46960449219,"RFd"
"GarageType",1040.365234375,"RFd"
"BsmtFinSF1",958.376770019531,"RFd"
"FireplaceQu",937.413818359375,"RFd"
"GarageYrBlt",820.713989257812,"RFd"
"X2ndFlrSF",701.809143066406,"RFd"
"CentralAir",628.583374023438,"RFd"
"Exterior1st",558.518981933594,"RFd"
"Exterior2nd",557.673889160156,"RFd"
"OverallCond",551.540649414062,"RFd"
"YearRemodAdd",541.940124511719,"RFd"
"LotArea",533.550109863281,"RFd"
"Fireplaces",462.724761962891,"RFd"
"BsmtFinType1",453.049682617188,"RFd"
"TotRmsAbvGrd",444.755432128906,"RFd"
"GarageFinish",416.995880126953,"RFd"
"LotFrontage",415.297515869141,"RFd"
"MSZoning",333.265380859375,"RFd"
"BsmtUnfSF",293.205871582031,"RFd"
"OpenPorchSF",286.184173583984,"RFd"
"MasVnrArea",256.851928710938,"RFd"
"MoSold",240.554718017578,"RFd"
"SaleCondition",233.364990234375,"RFd"
"BedroomAbvGr",220.954895019531,"RFd"
"BsmtExposure",216.412292480469,"RFd"
"GarageCond",208.787200927734,"RFd"
"HouseStyle",202.568161010742,"RFd"
"MSSubClass",198.10417175293,"RFd"
"WoodDeckSF",177.404113769531,"RFd"
"GarageQual",173.863784790039,"RFd"
"HeatingQC",165.093414306641,"RFd"
"BsmtCond",133.034881591797,"RFd"
"YrSold",131.909423828125,"RFd"
"ExterCond",129.407638549805,"RFd"
"BsmtFullBath",127.612319946289,"RFd"
"Functional",116.114883422852,"RFd"
"PavedDrive",112.06282043457,"RFd"
"Fence",109.067939758301,"RFd"
"Condition1",105.44841003418,"RFd"
"LandContour",102.852935791016,"RFd"
"Foundation",95.7159729003906,"RFd"
"EnclosedPorch",94.3683929443359,"RFd"
"LotShape",87.0844650268555,"RFd"
"MasVnrType",83.2120132446289,"RFd"
"LotConfig",82.062629699707,"RFd"
"BldgType",81.3935012817383,"RFd"
"BsmtFinType2",79.1019134521484,"RFd"
"RoofStyle",77.6741027832031,"RFd"
"HalfBath",75.7785720825195,"RFd"
"SaleType",66.9279479980469,"RFd"
"Electrical",57.9694557189941,"RFd"
"KitchenAbvGr",46.6529197692871,"RFd"
"ScreenPorch",45.1753845214844,"RFd"
"LandSlope",43.0402641296387,"RFd"
"BsmtFinSF2",35.9387664794922,"RFd"
"Alley",34.3386421203613,"RFd"
"Heating",31.1396999359131,"RFd"
"RoofMatl",20.7782459259033,"RFd"
"BsmtHalfBath",16.6526908874512,"RFd"
"LowQualFinSF",16.1031551361084,"RFd"
"MiscVal",14.419225692749,"RFd"
"Street",9.91495990753174,"RFd"
"MiscFeature",9.56792736053467,"RFd"
"Condition2",9.4319372177124,"RFd"
"X3SsnPorch",9.18630981445312,"RFd"
"PoolArea",5.15495824813843,"RFd"
"PoolQC",3.43912386894226,"RFd"
"Utilities",0.0763716995716095,"RFd"
"OverallQual",5516.69873046875,"GBMd"
"Neighborhood",1529.88708496094,"GBMd"
"GrLivArea",1322.427734375,"GBMd"
"KitchenQual",403.193725585938,"GBMd"
"TotalBsmtSF",373.251800537109,"GBMd"
"GarageCars",361.134521484375,"GBMd"
"BsmtFinSF1",228.821426391602,"GBMd"
"X1stFlrSF",216.125961303711,"GBMd"
"GarageArea",183.423080444336,"GBMd"
"OverallCond",150.745513916016,"GBMd"
"CentralAir",121.458938598633,"GBMd"
"LotArea",104.562484741211,"GBMd"
"YearRemodAdd",104.522766113281,"GBMd"
"FireplaceQu",94.9658813476562,"GBMd"
"SaleCondition",60.2980690002441,"GBMd"
"Exterior2nd",59.140193939209,"GBMd"
"YearBuilt",57.4863739013672,"GBMd"
"GarageType",52.7395477294922,"GBMd"
"BsmtFinType1",49.6808586120605,"GBMd"
"Exterior1st",47.8957672119141,"GBMd"
"ExterQual",46.6499061584473,"GBMd"
"X2ndFlrSF",33.9080276489258,"GBMd"
"MSZoning",32.2827224731445,"GBMd"
"GarageFinish",31.0015602111816,"GBMd"
"BsmtQual",28.577938079834,"GBMd"
"TotRmsAbvGrd",27.0087795257568,"GBMd"
"BsmtExposure",25.1075859069824,"GBMd"
"BsmtUnfSF",23.8362483978271,"GBMd"
"LotFrontage",22.0846881866455,"GBMd"
"BsmtCond",19.7182331085205,"GBMd"
"BsmtFullBath",19.3355541229248,"GBMd"
"WoodDeckSF",19.132884979248,"GBMd"
"Condition1",17.7871837615967,"GBMd"
"KitchenAbvGr",16.6408290863037,"GBMd"
"OpenPorchSF",15.9133005142212,"GBMd"
"GarageYrBlt",14.2794094085693,"GBMd"
"MoSold",12.6070175170898,"GBMd"
"Fireplaces",11.307785987854,"GBMd"
"ExterCond",11.1998519897461,"GBMd"
"Functional",10.7273092269897,"GBMd"
"MasVnrArea",10.6346817016602,"GBMd"
"SaleType",9.53081226348877,"GBMd"
"EnclosedPorch",9.30838871002197,"GBMd"
"PavedDrive",9.22823333740234,"GBMd"
"YrSold",8.22541522979736,"GBMd"
"BedroomAbvGr",7.80729866027832,"GBMd"
"FullBath",7.45760059356689,"GBMd"
"LotConfig",7.36855697631836,"GBMd"
"ScreenPorch",7.24462842941284,"GBMd"
"HeatingQC",6.44414186477661,"GBMd"
"Fence",6.1183762550354,"GBMd"
"BldgType",5.78798675537109,"GBMd"
"GarageCond",5.28030681610107,"GBMd"
"BsmtFinType2",4.8832631111145,"GBMd"
"LandContour",4.50543642044067,"GBMd"
"GarageQual",4.44282674789429,"GBMd"
"HouseStyle",4.19502401351929,"GBMd"
"LotShape",4.10369205474854,"GBMd"
"HalfBath",3.8510434627533,"GBMd"
"MSSubClass",3.44509744644165,"GBMd"
"Foundation",2.76652789115906,"GBMd"
"Condition2",2.56603050231934,"GBMd"
"MasVnrType",2.54148578643799,"GBMd"
"BsmtFinSF2",1.85895764827728,"GBMd"
"RoofStyle",0.95085209608078,"GBMd"
"Electrical",0.681756377220154,"GBMd"
"LowQualFinSF",0.655423700809479,"GBMd"
"RoofMatl",0.544958174228668,"GBMd"
"X3SsnPorch",0.459556519985199,"GBMd"
"BsmtHalfBath",0.415773421525955,"GBMd"
"Heating",0.367389976978302,"GBMd"
"Alley",0.297171920537949,"GBMd"
"LandSlope",0.260520607233047,"GBMd"
"MiscVal",0.11249964684248,"GBMd"
"MiscFeature",0.0622561238706112,"GBMd"
"Street",0,"GBMd"
"Utilities",0,"GBMd"
"PoolArea",0,"GBMd"
"PoolQC",0,"GBMd"
