"variable","importance","model"
"OverallQual",30366.517578125,"rf"
"Neighborhood",22175.951171875,"rf"
"GrLivArea",10887.607421875,"rf"
"ExterQual",7799.8212890625,"rf"
"YearBuilt",4547.42236328125,"rf"
"GarageCars",3273.33520507812,"rf"
"GarageArea",2687.80297851562,"rf"
"KitchenQual",2645.94873046875,"rf"
"X1stFlrSF",2605.67700195312,"rf"
"TotalBsmtSF",2508.5439453125,"rf"
"BsmtQual",2274.66723632812,"rf"
"FullBath",1533.09704589844,"rf"
"FireplaceQu",1282.681640625,"rf"
"BsmtFinSF1",1232.70056152344,"rf"
"GarageType",1186.84265136719,"rf"
"GarageYrBlt",1012.95684814453,"rf"
"X2ndFlrSF",905.098449707031,"rf"
"CentralAir",799.882629394531,"rf"
"GarageFinish",737.981994628906,"rf"
"Exterior2nd",725.70556640625,"rf"
"Exterior1st",712.696105957031,"rf"
"YearRemodAdd",705.966979980469,"rf"
"LotArea",701.047424316406,"rf"
"OverallCond",690.268859863281,"rf"
"BsmtFinType1",576.921203613281,"rf"
"Fireplaces",575.470520019531,"rf"
"TotRmsAbvGrd",557.949340820312,"rf"
"LotFrontage",526.023498535156,"rf"
"MSZoning",437.509674072266,"rf"
"BsmtUnfSF",364.613983154297,"rf"
"OpenPorchSF",361.844207763672,"rf"
"MasVnrArea",316.83447265625,"rf"
"MoSold",306.721923828125,"rf"
"SaleCondition",295.378601074219,"rf"
"BedroomAbvGr",278.137176513672,"rf"
"GarageCond",276.954620361328,"rf"
"BsmtExposure",273.889312744141,"rf"
"HouseStyle",260.760620117188,"rf"
"MSSubClass",254.06462097168,"rf"
"WoodDeckSF",236.496017456055,"rf"
"HeatingQC",211.954376220703,"rf"
"GarageQual",210.93212890625,"rf"
"ExterCond",171.026611328125,"rf"
"YrSold",167.941268920898,"rf"
"BsmtFullBath",167.765930175781,"rf"
"BsmtCond",167.661560058594,"rf"
"Functional",145.216049194336,"rf"
"Fence",138.15234375,"rf"
"PavedDrive",137.022399902344,"rf"
"Condition1",134.28288269043,"rf"
"LandContour",133.434432983398,"rf"
"Foundation",128.040130615234,"rf"
"EnclosedPorch",115.981132507324,"rf"
"LotShape",110.190933227539,"rf"
"LotConfig",105.478134155273,"rf"
"MasVnrType",105.155967712402,"rf"
"HalfBath",102.66227722168,"rf"
"BsmtFinType2",102.62474822998,"rf"
"BldgType",101.82527923584,"rf"
"RoofStyle",98.9889602661133,"rf"
"SaleType",85.8147354125977,"rf"
"Electrical",77.5052261352539,"rf"
"KitchenAbvGr",60.4948120117188,"rf"
"ScreenPorch",60.0171546936035,"rf"
"LandSlope",54.9570770263672,"rf"
"BsmtFinSF2",44.160327911377,"rf"
"Alley",43.8205680847168,"rf"
"Heating",39.3582382202148,"rf"
"RoofMatl",26.3822803497314,"rf"
"BsmtHalfBath",20.4984683990479,"rf"
"LowQualFinSF",19.4994602203369,"rf"
"MiscVal",17.3141231536865,"rf"
"Condition2",12.8747272491455,"rf"
"MiscFeature",12.8261642456055,"rf"
"X3SsnPorch",12.5202741622925,"rf"
"Street",11.4433813095093,"rf"
"PoolArea",6.69023418426514,"rf"
